CourseID,CourseName,CourseType,CourseCredit,CourseDesc
KSHCYSX011,可视化程序设计实习,A,1,Good
LCGY010,林产工业概论,D2,3,Good
LD1001,劳动(1),A,0.5,Good
LD2001,劳动(2),A,0.5,Good
LD3001,劳动(3),A,0.5,Good
LSSX011,离散数学,C,4,Good
LXGL004,林学概论,D2,3,Good
MCDSX001,毛泽东思想概论,A,2,Good
MKS001,马克思主义哲学原理,A,3,Good
MKSS002,马克思主义哲学原理,A,3,Good
MKSS002A,马克思主义哲学原理,A,3,Good
MKSZ002,马克思主义哲学原理(专),A,2,Good
MSKL002,毛泽东思想概论,A,2,Good
MXDX011,面向对象技术,D12,2,Good
MXJC005,美学基础,E,2,Good
ORACSX011,Oracle实习,C,1,Good
PMTX011,平面图像处理及软件应用,D2,1.5,Good
QBASIC01,QBASIC程序设计,A,2.5,Good
QYSW012,企业商务谈判,E,2,Good
QYXX012,企业形象设计,E,2,Good
RGCN011,人工智能,D2,2,Good
RJCSD011,软件成熟度能力模型,D12,1.5,Good
RJGC011,软件工程,C,2.5,Good
RJGCSX011,软件工程实习,C,1,Good
RLZY001,人力资源管理,E,2,Good
SJJGSX011,数据结构实习,C,1,Good
SJK004,数据库原理及应用,C,2.5,Good
SJKY004,数据库原理及应用实习,C,1,Good
SJKYL0011,数据库原理及应用,C,2.5,Good
SJKYLSX011,数据库原理及应用实习,C,1,Good
SKCCNA011,思科CCNA2,D2,3.5,Good
SLZYJ004,森林资源经营管理,E,2,Good
SM00005,素描,E,2,Good
SSDD002,思想道德修养,A,2,Good
SWGL004,生物学概论,E,2,Good
SWYY003,商务英语,E,2,Good
SZLJ001,数字逻辑电路,C,2.5,Good
SZXH011,数字信号处理,C,2.5,Good
TLYY011,图论及其应用,D2,2.5,Good
TXTXCL011,图形图象处理,C,1.5,Good
TXYL011,通讯原理,C,2.5,Good
TY1001,体育(1),A,1,Good
TY20001,体育(2),A,1,Good
TY2001,体育(2),A,1,Good
TY30001,体育(3),A,1,Good
TY3001,体育(3),A,1,Good
TY40001,体育(4),A,1,Good
TZX0012,投资学,E,2,Good
WGJJ012,微观经济学,E,2,Good
WJYY011,微型计算机应用基础,A,2.5,Good
WLSY001,物理实验,B,1.5,Good
WZBJ002,文字编辑方法,B,1.5,Good
WZSJ011,网站设计,C,1.5,Good
XCSH004,乡村社会学,E,2,Good
XDQYG012,现代企业管理,E,2,Good
XHYXT011,信号与系统,C,3,Good
XNWL011,虚拟专用网,D11,2.5,Good
YLSJJ005,园林设计基础,E,2,Good
YNSS005,云南山水景观,E,2,Good
YYJ1001,英语(1),A,4,Good
YYJ1003,英语(1),A,4,Good
YYJ2001,英语(2),A,4,Good
YYJ2003,英语(2),A,4,Good
YYJ3001,英语(3),A,4,Good
YYJ3003,英语(3),A,4,Good
YYJ4003,英语(4),A,4,Good
ZDKR009,自动控制原理,D12,3,Good
ZLPY007,竹类培育与利用,E,2,Good
ZQTZ012,证券投资,E,2,Good
ZWFN002,现当代中外名作赏析,E,2,Good
ZZJJ001,政治经济学原理,A,2,Good
ZZJJ002,政治经济学原理,A,2,Good
ZZJJ002a,政治经济学原理,A,2,Good
ZZJJ002b,政治经济学原理,A,2,Good
